date,year,month,region,region_label,longitude,latitude,sst_anomaly,enso_phase,source
1998-02,1998,2,eastern_pacific,Eastern Pacific,250,0,0.382,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-03,1998,3,western_pacific,Western Pacific,145,0,0.212,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-03,1998,3,central_pacific,Central Pacific,190,0,0.829,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-03,1998,3,nino_34,Nino 3.4,210,0,0.589,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-03,1998,3,eastern_pacific,Eastern Pacific,250,0,0.063,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-04,1998,4,western_pacific,Western Pacific,145,0,0.461,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-04,1998,4,central_pacific,Central Pacific,190,0,0.406,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-04,1998,4,nino_34,Nino 3.4,210,0,0.238,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-04,1998,4,eastern_pacific,Eastern Pacific,250,0,-1.322,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-05,1998,5,western_pacific,Western Pacific,145,0,0.170,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-05,1998,5,central_pacific,Central Pacific,190,0,0.088,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-05,1998,5,nino_34,Nino 3.4,210,0,0.086,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-05,1998,5,eastern_pacific,Eastern Pacific,250,0,-2.217,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-06,1998,6,western_pacific,Western Pacific,145,0,0.381,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-06,1998,6,central_pacific,Central Pacific,190,0,-0.241,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-06,1998,6,nino_34,Nino 3.4,210,0,-0.265,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-06,1998,6,eastern_pacific,Eastern Pacific,250,0,-2.357,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-07,1998,7,western_pacific,Western Pacific,145,0,0.577,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-07,1998,7,central_pacific,Central Pacific,190,0,-0.254,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-07,1998,7,nino_34,Nino 3.4,210,0,-0.277,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-07,1998,7,eastern_pacific,Eastern Pacific,250,0,-2.104,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-08,1998,8,western_pacific,Western Pacific,145,0,0.749,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
